INT	INT	STRING	STRING	STRING	STR	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INTARR	INT	STRING	STRING
池子id	类型：0武器池，1角色池	自己写的注释	池子名	广告图	广告图2	活动时间描述	简单描述	详情界面图	详情界面描述	货币种类0道具+钻石 1只道具 3钻石	单抽价格 第六位对应商店物品ID	连抽价格 第六位对应商店物品ID	判断类型（角色：普通0，特殊1，新人补给2，自选UP3，自选必得单抽4；武器：普通0，自选UP1）	是否隐藏十连/单抽按钮（1隐藏十连，2隐藏单抽，其他或者不填是不隐藏）	是否横卡	活动时间 {开始时间，结束时间}	池子文件	排序	自选UP重置次数	四星卡保底次数	UP卡保底次数	获得自选箱次数	自选箱GDPL	保底卡片星级概率配置	卡片星级概率配置	购买得到道具	是否可用免费钻石(0是不可以，1是可以)	单抽价格	免费补给类型(1每日重置 2不重置)	免费补给次数	免费补给时间	轮替蛋池Version	跳转广告	跳转事件(ToGirlTest 试玩)
ID	Type	Comment	Name	AD	AD2	TimeDesc	Desc	InfoAD	InfoDesc	CashType	CostOne	CostTen	JudgeType	HideTenBtn	HCard	Time	Pool	Sort	SetUpNum	ProtectNum	ProtectUpNum	UpBoxNum	UpBox	HedgeCardStarSeed	CardStarSeed	GetItem	CanUseFreeDiamond	ExchangeRate	FreeType	FreeCount	FreeTime	RotateVersion	JumpAD	JumpCode
1	1	角色卡_基础蛋池	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha03_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{201808190000, 20191206115959}	card_1	6		50				1	1	[7-1-4-2-1]	1	150						
3	1	示例卡池1	ui.gacha.3.name	Poster/gacha_AD01	Poster/event_gacha02_banner	ui.gacha.example_timedesc	ui.gacha.3.desc	Card/girl01_card01	ui.gacha.3.info	2	10	90	0			{20101220, 20101230}	card_1	5						1	1									
4	1	示例卡池2	ui.gacha.4.name	Poster/gacha_AD01	Poster/event_gacha02_banner	ui.gacha.example_timedesc	ui.gacha.4.desc	Card/girl02_card01	ui.gacha.4.info	2	10	90	0			{20101220, 20101230}	card_1	7						1	1									
5	1	角色卡_战术装备蛋池	gacha.gacha.5.name	Poster/event_gacha01_banner_Mul	Poster/event_gacha01_Mul	gacha.gacha.5.timedesc	gacha.gacha.5.desc	Poster/event_gacha01_banner_Mul	gacha.gacha.5.info	0	[9-12-1-1-1-10001]	[9-13-1-1-1]	0			{201911231200, 201912040400}	card_2	4		50	100			2	2	[7-1-4-2-1]	1	150						
66	1	约定补给蛋池（SR/SSR）	gacha.gacha.6.name	Poster/event_gacha06_banner_Mul	Poster/event_gacha06_Mul	gacha.gacha.6.timedesc	gacha.gacha.6.desc	Poster/event_gacha06_banner_Mul	gacha.gacha.6.info	1	[9-14-1-1-1]		1	1		{201808190000, 207708292359}	card_promise	99						5	5	[7-1-4-2-1]	1	150						
77	1	白金特选蛋池（SSR)	gacha.gacha.7.name	Poster/event_gacha07_banner_Mul	Poster/event_gacha07_Mul	gacha.gacha.7.timedesc	gacha.gacha.7.desc	Poster/event_gacha07_banner_Mul	gacha.gacha.7.info	1	[9-15-1-1-1]		1	1		{201808190000, 20201030075959}	card_platinum_ZH	98						4	4	[7-1-4-2-1]	1	150						
8	1	角色卡_水着_2期爬塔	gacha.gacha.8.name	Poster/event_gacha02_banner_Mul	Poster/event_gacha02_Mul	gacha.gacha.8.timedesc	gacha.gacha.8.desc	Poster/event_gacha02_banner_Mul	gacha.gacha.8.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{201912061200, 201912200400}	card_8	4		50	100			6	2	[7-1-4-2-1]	1	150						
9	1	角色卡_战术装备_3期爬塔	gacha.gacha.9.name	Poster/event_gacha03_banner_Mul	Poster/event_gacha03_Mul	gacha.gacha.9.timedesc	gacha.gacha.9.desc	Poster/event_gacha03_banner_Mul	gacha.gacha.9.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202001061200, 202001170400}	card_9_ZH	4		50	100	300	[8-10-9-4]	7	2	[7-1-4-2-1]	1	150						
