INT	INT	INT	STR
概率id	3星卡概率	4星卡概率	保底卡池
ID	3StarCardSeed	4StarCardSeed	HedgePool
1	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_1
2	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_2
3	[1,9700],[100,9700]	[1,300],[100,300]	HedgeWeaponPool_1
4	[1,0],[50,0]	[1,10000],[50,10000]	HedgeCard_platinum
5	[1,8500],[100,8500]	[1,1500],[50,1500]	HedgeCard_promise
6	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_8
7	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_9
8	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_10
9	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_NewYear
10	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_5thTower
11	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_21_ZH
12	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_22_ZH
13	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_23_ZH
14	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_14_ZH
15	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_19
16	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_20
17	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCard_1_base_card_23
18	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_27_ZH
19	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_1_base_23_ZH
20	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_24_ZH
21	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_26_ZH
22	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCard_1_base_card_24_ZH
23	[1,9700],[50,9700]	[1,300],[50,300]	HedgeWeaponPool_1_base_5_Mul
24	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_29_ZH
25	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCard_1_base_card_29_ZH
26	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_30_ZH
27	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_31_ZH
28	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCard_1_base_card_30_ZH
29	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_32_ZH
30	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCard_1_base_card_31_ZH
31	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_33_ZH
32	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCard_1_base_card_32_ZH
33	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_34_ZH
34	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_35_ZH
35	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_37_ZH
36	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCard_1_base_card_35_ZH
37	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_38_ZH
38	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCard_1_base_card_37_ZH
39	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_39_ZH
40	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCardPool_40_ZH
41	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCard_1_base_card_39_ZH
42	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_42_ZH
43	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_ZH
44	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_44_ZH
45	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_45_ZH
46	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_46_ZH
47	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_47_ZH
48	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_48_ZH
49	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_49_ZH
50	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_50_ZH
51	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_51_ZH
52	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_52_ZH
53	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_53_ZH
57	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_57_ZH
58	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_58_ZH
59	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_59_ZH
60	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_60_ZH
61	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_61_ZH
