INT	GDPL	NUL	INT	BOOL	STR	STR	INT	INT
奖励id	奖励GDPLN	说明	权重	是否展示	卡片图片	剧情文件	UP标记	排序
ID	GDPLN	Nul	Rate	IsPreview	CardTexture	Story	UpFlag	Sort
111	[1-1-1-1]	公式服·洛可可	100					1119
122	[1-1-2-2]	训练服·洛可可	100					127
132	[1-1-3-2]	拉拉队·洛可可	100					128
113	[1-1-1-3]	私服·洛可可	100			Gacha/Gacha_girl0105		26
143	[1-1-4-3]	女仆装·洛可可	100			Gacha/Gacha_girl0104		27
173	[1-1-7-3]	战术装备·洛可可	100			Gacha/Gacha_girl0107		2
211	[1-2-1-1]	公式服·高奈利亚	100					1111
213	[1-2-1-3]	私服·高奈利亚	100			Gacha/Gacha_girl0205		11
222	[1-2-2-2]	训练服·高奈利亚	100					111
232	[1-2-3-2]	拉拉队·高奈利亚	100					119
243	[1-2-4-3]	女仆装·高奈利亚	100			Gacha/Gacha_girl0204		4
2164	[1-2-16-4]	西洋棋·高奈利亚	100	1	Card/All/girl02_card16.png	Gacha/Gacha_girl0216		1
311	[1-3-1-1]	公式服·朱诺	100					1120
322	[1-3-2-2]	训练服·朱诺	100					129
332	[1-3-3-2]	拉拉队·朱诺	100					130
313	[1-3-1-3]	私服·朱诺	100			Gacha/Gacha_girl0305		29
343	[1-3-4-3]	女仆装·朱诺	100			Gacha/Gacha_girl0304		30
384	[1-3-8-4]	水着·朱诺	100			Gacha/Gacha_girl0308		7
411	[1-4-1-1]	公式服·沐恩	100					1121
422	[1-4-2-2]	训练服·沐恩	100					131
432	[1-4-3-2]	拉拉队·沐恩	100					132
413	[1-4-1-3]	私服·沐恩	100			Gacha/Gacha_girl0405		31
444	[1-4-4-4]	女仆装·沐恩	100			Gacha/Gacha_girl0404		5
4154	[1-4-15-4]	睡衣·沐恩	100			Gacha/Gacha_girl0415		3
511	[1-5-1-1]	公式服·苏小真	100					1122
522	[1-5-2-2]	训练服·苏小真	100					133
532	[1-5-3-2]	拉拉队·苏小真	100					134
513	[1-5-1-3]	私服·苏小真	100			Gacha/Gacha_girl0505		32
544	[1-5-4-4]	女仆装·苏小真	100			Gacha/Gacha_girl0504		6
583	[1-5-8-3]	水着·苏小真	100			Gacha/Gacha_girl0508		10
5153	[1-5-15-3]	睡衣·苏小真	100			Gacha/Gacha_girl0515		3
611	[1-6-1-1]	公式服·千姬	100					1112
613	[1-6-1-3]	私服·千姬	100			Gacha/Gacha_girl0605		12
622	[1-6-2-2]	训练服·千姬	100					112
632	[1-6-3-2]	拉拉队·千姬	100					120
643	[1-6-4-3]	女仆装·千姬	100			Gacha/Gacha_girl0604		19
674	[1-6-7-4]	战术装备·千姬	100			Gacha/Gacha_girl0607		2
6154	[1-6-15-4]	睡衣·千姬	100	1	Card/All/girl06_card15.png	Gacha/Gacha_girl0615		3
711	[1-7-1-1]	公式服·艾琳	100					1113
713	[1-7-1-3]	私服·艾琳	100			Gacha/Gacha_girl0705		13
722	[1-7-2-2]	训练服·艾琳	100					113
732	[1-7-3-2]	拉拉队·艾琳	100					121
743	[1-7-4-3]	女仆装·艾琳	100			Gacha/Gacha_girl0704		20
774	[1-7-7-4]	战术装备·艾琳	100			Gacha/Gacha_girl0707		2
811	[1-8-1-1]	公式服·格兰妮	100					1114
813	[1-8-1-3]	私服·格兰妮	100			Gacha/Gacha_girl0805		14
822	[1-8-2-2]	训练服·格兰妮	100					114
832	[1-8-3-2]	拉拉队·格兰妮	100					122
843	[1-8-4-3]	女仆装·格兰妮	100			Gacha/Gacha_girl0804		21
874	[1-8-7-4]	战术装备·格兰妮	100			Gacha/Gacha_girl0807		2
8164	[1-8-16-4]	西洋棋·格兰妮	100			Gacha/Gacha_girl0816		1
911	[1-9-1-1]	公式服·时无瑕	100					1115
922	[1-9-2-2]	训练服·时无瑕	100					115
932	[1-9-3-2]	拉拉队·时无瑕	100					123
913	[1-9-1-3]	私服·时无瑕	100			Gacha/Gacha_girl0905		15
944	[1-9-4-4]	女仆装·时无瑕	100			Gacha/Gacha_girl0904		3
973	[1-9-7-3]	战术装备·时无瑕	100			Gacha/Gacha_girl0907		3
9124	[1-9-12-4]	旗袍·时无瑕	100			Gacha/Gacha_girl0912		2
1011	[1-10-1-1]	公式服·时无忧	100					1116
1013	[1-10-1-3]	私服·时无忧	100			Gacha/Gacha_girl1005		16
