INT	GDPL	NUL	INT	BOOL	STR	STR	INT	INT
奖励id	奖励GDPLN	说明	权重	是否展示	卡片图片	剧情文件	UP标记	排序
ID	GDPLN	Nul	Rate	IsPreview	CardTexture	Story	UpFlag	Sort
111	[1-1-1-1]	公式服·洛可可	100					1119
122	[1-1-2-2]	训练服·洛可可	100					127
132	[1-1-3-2]	拉拉队·洛可可	100					129
113	[1-1-1-3]	私服·洛可可	100			Gacha/Gacha_girl0105		26
143	[1-1-4-3]	女仆装·洛可可	100			Gacha/Gacha_girl0104		27
163	[1-1-6-3]	童话·洛可可	100			Gacha/Gacha_girl0106		2
173	[1-1-7-3]	战术装备·洛可可	100			Gacha/Gacha_girl0107		2
1104	[1-1-10-4]	浴衣·洛可可	100			Gacha/Gacha_girl0110		2
1134	[1-1-13-4]	事务官·洛可可	100			Gacha/Gacha_girl0113		2
102604	[1-1-26-4]	圣诞·洛可可	100			Gacha/Gacha_girl0126		2
211	[1-2-1-1]	公式服·高奈利亚	100					1111
213	[1-2-1-3]	私服·高奈利亚	100			Gacha/Gacha_girl0205		11
222	[1-2-2-2]	训练服·高奈利亚	100					111
232	[1-2-3-2]	拉拉队·高奈利亚	100					119
243	[1-2-4-3]	女仆装·高奈利亚	100			Gacha/Gacha_girl0204		4
2164	[1-2-16-4]	西洋棋·高奈利亚	100			Gacha/Gacha_girl0216		2
2203	[1-2-20-3]	少女星辰·高奈利亚	100			Gacha/Gacha_girl0220		2
2274	[1-2-27-4]	冬装·高奈利亚	100			Gacha/Gacha_girl0227		2
311	[1-3-1-1]	公式服·朱诺	100					1120
322	[1-3-2-2]	训练服·朱诺	100					129
332	[1-3-3-2]	拉拉队·朱诺	100					130
313	[1-3-1-3]	私服·朱诺	100			Gacha/Gacha_girl0305		29
343	[1-3-4-3]	女仆装·朱诺	100			Gacha/Gacha_girl0304		30
374	[1-3-7-4]	战术装备·朱诺	100			Gacha/Gacha_girl0307		2
384	[1-3-8-4]	水着·朱诺	100			Gacha/Gacha_girl0308		7
411	[1-4-1-1]	公式服·沐恩	100					1121
422	[1-4-2-2]	训练服·沐恩	100					131
432	[1-4-3-2]	拉拉队·沐恩	100					132
413	[1-4-1-3]	私服·沐恩	100			Gacha/Gacha_girl0405		31
444	[1-4-4-4]	女仆装·沐恩	100			Gacha/Gacha_girl0404		5
473	[1-4-7-3]	战术装备·沐恩	100			Gacha/Gacha_girl0407		2
511	[1-5-1-1]	公式服·苏小真	100					1122
522	[1-5-2-2]	训练服·苏小真	100					133
532	[1-5-3-2]	拉拉队·苏小真	100					134
513	[1-5-1-3]	私服·苏小真	100			Gacha/Gacha_girl0505		32
544	[1-5-4-4]	女仆装·苏小真	100			Gacha/Gacha_girl0504		6
574	[1-5-7-4]	战术装备·苏小真	100			Gacha/Gacha_girl0507		2
5114	[1-5-11-4]	清理者·苏小真	100			Gacha/Gacha_girl0511		2
5204	[1-5-20-4]	少女星辰·苏小真	100			Gacha/Gacha_girl0520		2
5254	[1-5-25-4]	万圣节·苏小真	100			Gacha/Gacha_girl0525		2
611	[1-6-1-1]	公式服·千姬	100					1112
613	[1-6-1-3]	私服·千姬	100			Gacha/Gacha_girl0605		12
622	[1-6-2-2]	训练服·千姬	100					112
632	[1-6-3-2]	拉拉队·千姬	100					120
643	[1-6-4-3]	女仆装·千姬	100			Gacha/Gacha_girl0604		19
674	[1-6-7-4]	战术装备·千姬	100			Gacha/Gacha_girl0607		2
684	[1-6-8-4]	水着·千姬	100			Gacha/Gacha_girl0608		2
6254	[1-6-25-4]	万圣节·千姬	100			Gacha/Gacha_girl0625		2
711	[1-7-1-1]	公式服·艾琳	100					1113
713	[1-7-1-3]	私服·艾琳	100			Gacha/Gacha_girl0705		13
722	[1-7-2-2]	训练服·艾琳	100					113
732	[1-7-3-2]	拉拉队·艾琳	100					121
743	[1-7-4-3]	女仆装·艾琳	100			Gacha/Gacha_girl0704		20
774	[1-7-7-4]	战术装备·艾琳	100	1	Card/All/girl07_card07.png	Gacha/Gacha_girl0707		2
794	[1-7-9-4]	污染者·艾琳	100			Gacha/Gacha_girl0709		2
7104	[1-7-10-4]	浴衣·艾琳	100			Gacha/Gacha_girl0710		2
7134	[1-7-13-4]	事务官·艾琳	100			Gacha/Gacha_girl0713		2
811	[1-8-1-1]	公式服·格兰妮	100					1114
