INT	GDPL	NUL	INT	BOOL	STR	STR	INT	INT
奖励id	奖励GDPLN	说明	权重	是否展示	卡片图片	剧情文件	UP标记	排序
ID	GDPLN	Nul	Rate	IsPreview	CardTexture	Story	UpFlag	Sort
184	[1-1-8-4]	水着·洛可可	100			Gacha/Gacha_girl0108		2
2164	[1-2-16-4]	西洋棋·高奈利亚	100	1	Card/All/girl02_card16.png	Gacha/Gacha_girl0216		4
374	[1-3-7-4]	战术装备·朱诺	100			Gacha/Gacha_girl0307		2
444	[1-4-4-4]	女仆装·沐恩	100			Gacha/Gacha_girl0404		5
544	[1-5-4-4]	女仆装·苏小真	100	1	Card/All/girl05_card04.png	Gacha/Gacha_girl0504		6
674	[1-6-7-4]	战术装备·千姬	100	1	Card/All/girl06_card07.png	Gacha/Gacha_girl0607		7
7134	[1-7-13-4]	事务官·艾琳	100			Gacha/Gacha_girl0713		2
884	[1-8-8-4]	水着·格兰妮	100			Gacha/Gacha_girl0808		2
944	[1-9-4-4]	女仆装·时无瑕	100			Gacha/Gacha_girl0904		3
1044	[1-10-4-4]	女仆装·时无忧	100			Gacha/Gacha_girl1004		22
1184	[1-11-8-4]	水着·丽达	100			Gacha/Gacha_girl1108		2
1264	[1-12-6-4]	童话·伊珂丝	100			Gacha/Gacha_girl1206		2
14144	[1-14-14-4]	机动套装·聂诗柔	100			Gacha/Gacha_girl1414		2
15144	[1-15-14-4]	机动套装·阿尼娅	100			Gacha/Gacha_girl1514		2
