INT	GDPL	NUL	INT	BOOL	STR	STR	INT	INT
奖励id	奖励GDPLN	说明	权重	是否展示	卡片图片	剧情文件	UP标记	排序
ID	GDPLN	Nul	Rate	IsPreview	CardTexture	Story	UpFlag	Sort
1134	[1-1-13-4]	事务官·洛可可	100	1	Card/All/girl01_card13.png	Gacha/Gacha_girl0113		2
2164	[1-2-16-4]	西洋棋·高奈利亚	100			Gacha/Gacha_girl0216		2
364	[1-3-6-4]	童话·朱诺	100			Gacha/Gacha_girl0306		2
444	[1-4-4-4]	女仆装·沐恩	100			Gacha/Gacha_girl0404		5
574	[1-5-7-4]	战术装备·苏小真	100			Gacha/Gacha_girl0507		2
684	[1-6-8-4]	水着·千姬	100			Gacha/Gacha_girl0608		2
774	[1-7-7-4]	战术装备·艾琳	100			Gacha/Gacha_girl0707		2
8164	[1-8-16-4]	西洋棋·格兰妮	100	1	Card/All/girl08_card16.png	Gacha/Gacha_girl0816		2
9124	[1-9-12-4]	旗袍·时无瑕	100	1	Card/All/girl09_card12.png	Gacha/Gacha_girl0912		2
1074	[1-10-7-4]	战术装备·时无忧	100			Gacha/Gacha_girl1007		2
1184	[1-11-8-4]	水着·丽达	100			Gacha/Gacha_girl1108		2
1284	[1-12-8-4]	水着·伊珂丝	100			Gacha/Gacha_girl1208		8
14144	[1-14-14-4]	机动套装·聂诗柔	100			Gacha/Gacha_girl1414		2
15144	[1-15-14-4]	机动套装·阿尼娅	100			Gacha/Gacha_girl1514		2
