INT	GDPL	NUL	INT	BOOL	STR	STR	INT	INT
奖励id	奖励GDPLN	说明	权重	是否展示	卡片图片	剧情文件	UP标记	排序
ID	GDPLN	Nul	Rate	IsPreview	CardTexture	Story	UpFlag	Sort
2164	[1-2-16-4]	西洋棋·高奈利亚	100			Gacha/Gacha_girl0216		4
384	[1-3-8-4]	水着·朱诺	100			Gacha/Gacha_girl0308		1
444	[1-4-4-4]	女仆装·沐恩	100			Gacha/Gacha_girl0404		5
4154	[1-4-15-4]	睡衣·沐恩	100			Gacha/Gacha_girl0415		7
544	[1-5-4-4]	女仆装·苏小真	100	1	Card/All/girl05_card04.png	Gacha/Gacha_girl0504		6
674	[1-6-7-4]	战术装备·千姬	100			Gacha/Gacha_girl0607		7
6154	[1-6-15-4]	睡衣·千姬	100			Gacha/Gacha_girl0615		8
774	[1-7-7-4]	战术装备·艾琳	100			Gacha/Gacha_girl0707		8
874	[1-8-7-4]	战术装备·格兰妮	100			Gacha/Gacha_girl0807		8
8164	[1-8-16-4]	西洋棋·格兰妮	100	1	Card/All/girl08_card16.png	Gacha/Gacha_girl0816		4
944	[1-9-4-4]	女仆装·时无瑕	100			Gacha/Gacha_girl0904		3
1044	[1-10-4-4]	女仆装·时无忧	100			Gacha/Gacha_girl1004		22
1074	[1-10-7-4]	战术装备·时无忧	100			Gacha/Gacha_girl1007		9
1284	[1-12-8-4]	水着·伊珂丝	100	1	Card/All/girl12_card08.png	Gacha/Gacha_girl1208		2
