INT	GDPL	NUL	INT	BOOL	STR	STR	INT	INT
奖励id	奖励GDPLN	说明	权重	是否展示	卡片图片	剧情文件	UP标记	排序
ID	GDPLN	Nul	Rate	IsPreview	CardTexture	Story	UpFlag	Sort
1104	[1-1-10-4]	浴衣·洛可可	100			Gacha/Gacha_girl0110		2
1134	[1-1-13-4]	事务官·洛可可	100			Gacha/Gacha_girl0113		2
102604	[1-1-26-4]	圣诞·洛可可	100			Gacha/Gacha_girl0126		2
2164	[1-2-16-4]	西洋棋·高奈利亚	100			Gacha/Gacha_girl0216		2
374	[1-3-7-4]	战术装备·朱诺	100			Gacha/Gacha_girl0307		2
384	[1-3-8-4]	水着·朱诺	100			Gacha/Gacha_girl0308		7
444	[1-4-4-4]	女仆装·沐恩	100			Gacha/Gacha_girl0404		5
544	[1-5-4-4]	女仆装·苏小真	100			Gacha/Gacha_girl0504		6
574	[1-5-7-4]	战术装备·苏小真	100			Gacha/Gacha_girl0507		2
5114	[1-5-11-4]	清理者·苏小真	100			Gacha/Gacha_girl0511		2
5204	[1-5-20-4]	少女星辰·苏小真	100			Gacha/Gacha_girl0520		2
5254	[1-5-25-4]	万圣节·苏小真	100	1	Card/All/girl05_card25.png	Gacha/Gacha_girl0525		1
674	[1-6-7-4]	战术装备·千姬	100			Gacha/Gacha_girl0607		2
684	[1-6-8-4]	水着·千姬	100			Gacha/Gacha_girl0608		2
6254	[1-6-25-4]	万圣节·千姬	100			Gacha/Gacha_girl0625		2
774	[1-7-7-4]	战术装备·艾琳	100			Gacha/Gacha_girl0707		2
794	[1-7-9-4]	污染者·艾琳	100			Gacha/Gacha_girl0709		2
7104	[1-7-10-4]	浴衣·艾琳	100	1	Card/All/girl07_card10.png	Gacha/Gacha_girl0710		1
7134	[1-7-13-4]	事务官·艾琳	100			Gacha/Gacha_girl0713		2
874	[1-8-7-4]	战术装备·格兰妮	100			Gacha/Gacha_girl0807		2
8164	[1-8-16-4]	西洋棋·格兰妮	100			Gacha/Gacha_girl0816		2
944	[1-9-4-4]	女仆装·时无瑕	100			Gacha/Gacha_girl0904		3
9124	[1-9-12-4]	旗袍·时无瑕	100			Gacha/Gacha_girl0912		2
1044	[1-10-4-4]	女仆装·时无忧	100			Gacha/Gacha_girl1004		22
1074	[1-10-7-4]	战术装备·时无忧	100			Gacha/Gacha_girl1007		2
10124	[1-10-12-4]	旗袍·时无忧	100			Gacha/Gacha_girl1012		2
10204	[1-10-20-4]	群青之翼·时无忧	100			Gacha/Gacha_girl1020		2
10264	[1-10-26-4]	圣诞·时无忧	100			Gacha/Gacha_girl1026		2
11114	[1-11-11-4]	清理者·丽达	100	1	Card/All/girl11_card11.png	Gacha/Gacha_girl1111		2
1264	[1-12-6-4]	童话·伊珂丝	100			Gacha/Gacha_girl1206		2
1284	[1-12-8-4]	水着·伊珂丝	100			Gacha/Gacha_girl1208		1
12204	[1-12-20-4]	少女星辰·伊珂丝	100			Gacha/Gacha_girl1220		2
14144	[1-14-14-4]	机动套装·聂诗柔	100			Gacha/Gacha_girl1414		2
15144	[1-15-14-4]	机动套装·阿尼娅	100			Gacha/Gacha_girl1514		2
