INT	GDPL	NUL	INT
奖励id	奖励GDPLN	说明	权重
ID	GDPLN	Nul	Rate
113	[1-1-1-3]	私服·洛可可	100
143	[1-1-4-3]	女仆装·洛可可	100
163	[1-1-6-3]	童话·洛可可	100
173	[1-1-7-3]	战术装备·洛可可	100
1104	[1-1-10-4]	浴衣·洛可可	100
1134	[1-1-13-4]	事务官·洛可可	100
102604	[1-1-26-4]	圣诞·洛可可	100
213	[1-2-1-3]	私服·高奈利亚	100
243	[1-2-4-3]	女仆装·高奈利亚	100
263	[1-2-6-3]	童话·高奈利亚	100
2164	[1-2-16-4]	西洋棋·高奈利亚	100
2194	[1-2-19-4]	一日警署·高奈利亚	100
2203	[1-2-20-3]	少女星辰·高奈利亚	100
2274	[1-2-27-4]	冬装·高奈利亚	100
2815	[1-2-81-5]	赏月·高奈利亚	2300
313	[1-3-1-3]	私服·朱诺	100
343	[1-3-4-3]	女仆装·朱诺	100
374	[1-3-7-4]	战术装备·朱诺	100
384	[1-3-8-4]	水着·朱诺	100
3214	[1-3-21-4]	水手服·朱诺	100
413	[1-4-1-3]	私服·沐恩	100
444	[1-4-4-4]	女仆装·沐恩	100
473	[1-4-7-3]	战术装备·沐恩	100
513	[1-5-1-3]	私服·苏小真	100
544	[1-5-4-4]	女仆装·苏小真	100
574	[1-5-7-4]	战术装备·苏小真	100
5114	[1-5-11-4]	清理者·苏小真	100
5204	[1-5-20-4]	少女星辰·苏小真	100
5254	[1-5-25-4]	万圣节·苏小真	100
613	[1-6-1-3]	私服·千姬	100
643	[1-6-4-3]	女仆装·千姬	100
674	[1-6-7-4]	战术装备·千姬	100
684	[1-6-8-4]	水着·千姬	100
6193	[1-6-19-3]	一日警署·千姬	100
6254	[1-6-25-4]	万圣节·千姬	100
713	[1-7-1-3]	私服·艾琳	100
743	[1-7-4-3]	女仆装·艾琳	100
774	[1-7-7-4]	战术装备·艾琳	100
794	[1-7-9-4]	污染者·艾琳	100
7104	[1-7-10-4]	浴衣·艾琳	100
7134	[1-7-13-4]	事务官·艾琳	100
7214	[1-7-21-4]	水手服·艾琳	100
813	[1-8-1-3]	私服·格兰妮	100
843	[1-8-4-3]	女仆装·格兰妮	100
874	[1-8-7-4]	战术装备·格兰妮	100
8124	[1-8-12-4]	旗袍·格兰妮	100
8164	[1-8-16-4]	西洋棋·格兰妮	100
8213	[1-8-21-3]	水手服·格兰妮	100
8294	[1-8-29-4]	怪盗·格兰妮	100
8815	[1-8-81-5]	观杏·格兰妮	2300
913	[1-9-1-3]	私服·时无瑕	100
944	[1-9-4-4]	女仆装·时无瑕	100
964	[1-9-6-4]	童话·时无瑕	100
9124	[1-9-12-4]	旗袍·时无瑕	100
9133	[1-9-13-3]	事务官·时无瑕	100
9203	[1-9-20-3]	群青之翼·时无瑕	100
1013	[1-10-1-3]	私服·时无忧	100
1044	[1-10-4-4]	女仆装·时无忧	100
1074	[1-10-7-4]	战术装备·时无忧	100
10124	[1-10-12-4]	旗袍·时无忧	100
10204	[1-10-20-4]	群青之翼·时无忧	100
10243	[1-10-24-3]	快餐厅·时无忧	100
10264	[1-10-26-4]	圣诞·时无忧	100
10293	[1-10-29-3]	怪盗·时无忧	100
1113	[1-11-1-3]	私服·丽达	100
1143	[1-11-4-3]	女仆装·丽达	100
11123	[1-11-12-3]	旗袍·丽达	100
11114	[1-11-11-4]	清理者·丽达	100
11294	[1-11-29-4]	侦探·丽达	100
1213	[1-12-1-3]	私服·伊珂丝	100
1243	[1-12-4-3]	女仆装·伊珂丝	100
1264	[1-12-6-4]	童话·伊珂丝	100
1284	[1-12-8-4]	水着·伊珂丝	100
12103	[1-12-10-3]	浴衣·伊珂丝	100
12163	[1-12-16-3]	西洋棋·伊珂丝	100
12204	[1-12-20-4]	少女星辰·伊珂丝	100
12274	[1-12-27-4]	冬装·伊珂丝	100
1313	[1-13-1-3]	私服·卡萝	100
13263	[1-13-26-3]	圣诞·卡萝	100
1413	[1-14-1-3]	私服·聂诗柔	100
14144	[1-14-14-4]	机动套装·聂诗柔	100
14194	[1-14-19-4]	一日警署·聂诗柔	100
1513	[1-15-1-3]	私服·阿尼娅	100
1564	[1-15-6-4]	童话·阿尼娅	100
15124	[1-15-12-4]	旗袍·阿尼娅	100
15144	[1-15-14-4]	机动套装·阿尼娅	100
15273	[1-15-27-3]	冬装·阿尼娅	100
1613	[1-16-1-3]	私服·唯	100
