INT	GDPL	NUL	INT
奖励id	奖励GDPLN	说明	权重
ID	GDPLN	Nul	Rate
113	[1-1-1-3]	私服·洛可可	100
143	[1-1-4-3]	女仆装·洛可可	100
213	[1-2-1-3]	私服·高奈利亚	100
243	[1-2-4-3]	女仆装·高奈利亚	100
313	[1-3-1-3]	私服·朱诺	100
343	[1-3-4-3]	女仆装·朱诺	100
413	[1-4-1-3]	私服·沐恩	100
444	[1-4-4-4]	女仆装·沐恩	100
513	[1-5-1-3]	私服·苏小真	100
544	[1-5-4-4]	女仆装·苏小真	100
613	[1-6-1-3]	私服·千姬	100
643	[1-6-4-3]	女仆装·千姬	100
674	[1-6-7-4]	战术装备·千姬	100
713	[1-7-1-3]	私服·艾琳	100
743	[1-7-4-3]	女仆装·艾琳	100
774	[1-7-7-4]	战术装备·艾琳	100
813	[1-8-1-3]	私服·格兰妮	100
843	[1-8-4-3]	女仆装·格兰妮	100
913	[1-9-1-3]	私服·时无瑕	100
944	[1-9-4-4]	女仆装·时无瑕	100
973	[1-9-7-3]	战术装备·时无瑕	100
1013	[1-10-1-3]	私服·时无忧	100
1044	[1-10-4-4]	女仆装·时无忧	100
1113	[1-11-1-3]	私服·丽达	100
1143	[1-11-4-3]	女仆装·丽达	100
1213	[1-12-1-3]	私服·伊珂丝	100
1243	[1-12-4-3]	女仆装·伊珂丝	100
