INT	GDPL	NUL	INT
奖励id	奖励GDPLN	说明	权重
ID	GDPLN	Nul	Rate
113	[1-1-1-3]	私服·洛可可	100
143	[1-1-4-3]	女仆装·洛可可	100
163	[1-1-6-3]	童话·洛可可	100
173	[1-1-7-3]	战术装备·洛可可	100
184	[1-1-8-4]	水着·洛可可	100
1134	[1-1-13-4]	事务官·洛可可	100
213	[1-2-1-3]	私服·高奈利亚	100
243	[1-2-4-3]	女仆装·高奈利亚	100
283	[1-2-8-3]	水着·高奈利亚	100
2164	[1-2-16-4]	西洋棋·高奈利亚	100
313	[1-3-1-3]	私服·朱诺	100
343	[1-3-4-3]	女仆装·朱诺	100
364	[1-3-6-4]	童话·朱诺	100
374	[1-3-7-4]	战术装备·朱诺	100
384	[1-3-8-4]	水着·朱诺	100
413	[1-4-1-3]	私服·沐恩	100
444	[1-4-4-4]	女仆装·沐恩	100
473	[1-4-7-3]	战术装备·沐恩	100
4154	[1-4-15-4]	睡衣·沐恩	100
513	[1-5-1-3]	私服·苏小真	100
544	[1-5-4-4]	女仆装·苏小真	100
574	[1-5-7-4]	战术装备·苏小真	100
583	[1-5-8-3]	水着·苏小真	100
5153	[1-5-15-3]	睡衣·苏小真	100
613	[1-6-1-3]	私服·千姬	100
643	[1-6-4-3]	女仆装·千姬	100
674	[1-6-7-4]	战术装备·千姬	100
684	[1-6-8-4]	水着·千姬	100
6154	[1-6-15-4]	睡衣·千姬	100
713	[1-7-1-3]	私服·艾琳	100
743	[1-7-4-3]	女仆装·艾琳	100
774	[1-7-7-4]	战术装备·艾琳	100
783	[1-7-8-3]	水着·艾琳	100
7134	[1-7-13-4]	事务官·艾琳	100
813	[1-8-1-3]	私服·格兰妮	100
843	[1-8-4-3]	女仆装·格兰妮	100
874	[1-8-7-4]	战术装备·格兰妮	100
884	[1-8-8-4]	水着·格兰妮	100
8164	[1-8-16-4]	西洋棋·格兰妮	100
913	[1-9-1-3]	私服·时无瑕	100
944	[1-9-4-4]	女仆装·时无瑕	100
973	[1-9-7-3]	战术装备·时无瑕	100
9124	[1-9-12-4]	旗袍·时无瑕	100
9133	[1-9-13-3]	事务官·时无瑕	100
1013	[1-10-1-3]	私服·时无忧	100
1044	[1-10-4-4]	女仆装·时无忧	100
1074	[1-10-7-4]	战术装备·时无忧	100
10124	[1-10-12-4]	旗袍·时无忧	100
1113	[1-11-1-3]	私服·丽达	100
1143	[1-11-4-3]	女仆装·丽达	100
1184	[1-11-8-4]	水着·丽达	100
1213	[1-12-1-3]	私服·伊珂丝	100
1243	[1-12-4-3]	女仆装·伊珂丝	100
1264	[1-12-6-4]	童话·伊珂丝	100
1284	[1-12-8-4]	水着·伊珂丝	100
12163	[1-12-16-3]	西洋棋·伊珂丝	100
1413	[1-14-1-3]	私服·聂诗柔	100
14144	[1-14-14-4]	机动套装·聂诗柔	100
1513	[1-15-1-3]	私服·阿尼娅	100
15144	[1-15-14-4]	机动套装·阿尼娅	100


