INT	GDPL	INT	NUL	INT
奖励id	奖励GDPLN	初始星级	说明	权重
ID	GDPLN	Rarity	Nul	Rate
181	[2-1-8-1]	3	宏原子手枪	100
191	[2-1-9-1]	3	致命移液枪	100
1111	[2-1-11-1]	3	阿尔忒弥斯	100
1131	[2-1-13-1]	3	指引星辰	100
1151	[2-1-15-1]	3	荒野之狼	100
231	[2-2-3-1]	3	野牛风钻	100
251	[2-2-5-1]	3	残忍造物主	100
281	[2-2-8-1]	3	光束步枪	100
2121	[2-2-12-1]	3	烧蚀步枪	100
2161	[2-2-16-1]	3	风暴巫师	100
361	[2-3-6-1]	3	真空清道夫	100
371	[2-3-7-1]	3	无情医者	100
3111	[2-3-11-1]	3	逆转先生	100
3141	[2-3-14-1]	3	诱变发生仪	100
3151	[2-3-15-1]	3	阵地消防员	100
451	[2-4-5-1]	3	天河之星	100
481	[2-4-8-1]	3	地狱獠牙	100
4111	[2-4-11-1]	3	赤道荆棘	100
4151	[2-4-15-1]	3	死境藤蔓	100
4171	[2-4-17-1]	3	冥界诅咒	100
551	[2-5-5-1]	3	河豚射线发生仪	100
591	[2-5-9-1]	3	垃圾粉碎者	100
5121	[2-5-12-1]	3	小丑手杖	100
5141	[2-5-14-1]	3	深渊之锤	100
5151	[2-5-15-1]	3	净罪清洗	100
131	[2-1-3-1]	4	群星道标	100
151	[2-1-5-1]	4	光梭手枪	100
241	[2-2-4-1]	4	十方萤火	100
2101	[2-2-10-1]	4	命运水瓶	100
381	[2-3-8-1]	4	妒火怨灵	100
3121	[2-3-12-1]	4	前沿勇士	100
441	[2-4-4-1]	4	苍白龙息	100
491	[2-4-9-1]	4	特斯拉极光	100
5101	[2-5-10-1]	4	指向性放射炮	100
5131	[2-5-13-1]	4	海洋之星	100
2181	[2-2-18-1]	4	腐朽蛛后	100
391	[2-3-9-1]	4	扩散型冬神	100
3191	[2-3-19-1]	4	胜利呼唤	100
5201	[2-5-20-1]	4	天鹅舞步	100
1181	[2-1-18-1]	4	引力扳机	700
5161	[2-5-16-1]	4	长岛冰茶	700
