INT	GDPL	INT	NUL	INT	BOOL	INT	INT
奖励id	奖励GDPLN	初始星级	说明	权重	是否展示	UP标记	排序
ID	GDPLN	Rarity	Nul	Rate	IsPreview	UpFlag	Sort
121	[2-1-2-1]	1	军用手枪	100			1
221	[2-2-2-1]	1	战斗步枪	100			2
321	[2-3-2-1]	1	短管霰弹枪	100			3
421	[2-4-2-1]	1	支援狙击步枪	100			4
521	[2-5-2-1]	1	烈焰放射器	100			5
161	[2-1-6-1]	2	红蝎双尾	100			6
171	[2-1-7-1]	2	冰山撕裂	100			7
1121	[2-1-12-1]	2	半神刺杀	100			8
1141	[2-1-14-1]	2	九九式军官手枪	100			9
261	[2-2-6-1]	2	高斯脉冲步枪	100			10
291	[2-2-9-1]	2	精确射击步枪	100			11
2141	[2-2-14-1]	2	原型源力步枪	100			12
2151	[2-2-15-1]	2	空降兵突击步枪	100			13
341	[2-3-4-1]	2	腐蚀散布者	100			14
351	[2-3-5-1]	2	蜂群	100			15
3101	[2-3-10-1]	2	不朽骑士	100			16
3131	[2-3-13-1]	2	双倍正义	100			17
431	[2-4-3-1]	2	下马威	100			18
461	[2-4-6-1]	2	养由基之弓	100			19
471	[2-4-7-1]	2	反器材狙击	100			20
4101	[2-4-10-1]	2	秦王之剑	100			21
541	[2-5-4-1]	2	沙漠之星	100			22
561	[2-5-6-1]	2	极地风暴	100			23
581	[2-5-8-1]	2	加压震击炮	100			24
5111	[2-5-11-1]	2	寒夜问候	100			25
181	[2-1-8-1]	3	宏原子手枪	100			26
191	[2-1-9-1]	3	致命移液枪	100			27
1111	[2-1-11-1]	3	阿尔忒弥斯	100			28
1131	[2-1-13-1]	3	指引星辰	100			29
1151	[2-1-15-1]	3	荒野之狼	100			30
231	[2-2-3-1]	3	野牛风钻	100			31
251	[2-2-5-1]	3	残忍造物主	100			32
281	[2-2-8-1]	3	光束步枪	100			33
2121	[2-2-12-1]	3	烧蚀步枪	100			34
2161	[2-2-16-1]	3	风暴巫师	100			35
361	[2-3-6-1]	3	真空清道夫	100			36
371	[2-3-7-1]	3	无情医者	100			37
3111	[2-3-11-1]	3	逆转先生	100			38
3141	[2-3-14-1]	3	诱变发生仪	100			39
3151	[2-3-15-1]	3	阵地消防员	100			40
451	[2-4-5-1]	3	天河之星	100			41
481	[2-4-8-1]	3	地狱獠牙	100			42
4111	[2-4-11-1]	3	赤道荆棘	100			43
4151	[2-4-15-1]	3	死境藤蔓	100			44
4171	[2-4-17-1]	3	冥界诅咒	100			45
551	[2-5-5-1]	3	河豚射线发生仪	100			46
591	[2-5-9-1]	3	垃圾粉碎者	100			47
5121	[2-5-12-1]	3	小丑手杖	100			48
5141	[2-5-14-1]	3	深渊之锤	100			49
5151	[2-5-15-1]	3	净罪清洗	100			50
131	[2-1-3-1]	4	群星道标	100	1		51
151	[2-1-5-1]	4	光梭手枪	100	1		52
241	[2-2-4-1]	4	十方萤火	100	1		53
2101	[2-2-10-1]	4	命运水瓶	100	1		54
381	[2-3-8-1]	4	妒火怨灵	100	1		55
3121	[2-3-12-1]	4	前沿勇士	100	1		56
441	[2-4-4-1]	4	苍白龙息	100	1		57
491	[2-4-9-1]	4	特斯拉极光	100	1		58
5101	[2-5-10-1]	4	指向性放射炮	100	1		59
5131	[2-5-13-1]	4	海洋之星	100	1		61
2181	[2-2-18-1]	4	腐朽蛛后	100	1		2
391	[2-3-9-1]	4	扩散型冬神	100	1		2
3191	[2-3-19-1]	4	胜利呼唤	100	1		2
5201	[2-5-20-1]	4	天鹅舞步	100	1		2
1181	[2-1-18-1]	4	引力扳机	100	1		2
5161	[2-5-16-1]	4	长岛冰茶	100	1		2
1211	[2-1-21-1]	4	失落圣城	100	1		2
5211	[2-5-21-1]	4	诺维科夫收束器	100	1		2
2111	[2-2-11-1]	4	红烬	100	1		2
4181	[2-4-18-1]	4	炽焰魔剑	100	1		2
2241	[2-2-24-1]	4	魅影波澜	100	1		2
3211	[2-3-21-1]	4	恒星贯穿	100	1		2
141	[2-1-4-1]	4	灵魂惩戒	100	1		2
4221	[2-4-22-1]	4	约克公爵	100	1		2
3171	[2-3-17-1]	4	涅墨西斯	100	1		1
531	[2-5-3-1]	4	银河法典	100	1		1
