NUL	INT	INT	NUL	INT	INT	INT	INT	INT	STRARR	INT	INT	INT	INTARR	INTARR	INT	INT	INT	NUL	INT	INTARR2	INTARR2	INTARR2	INTARR2	INT	INT	INT	INTARR2	INT	STR	STR	BOOL	INT	INT	STR	INTARR2	INTARR2	MAP	MAP	MAP	MAP
章节ID	关卡ID	难度	关卡名字	对应地图ID	关卡节点类型 1-通常关,2-剧情点.3-boss关	关卡分部分(a,b,c)	是否有星级目标	剧情类型（1 关卡前剧情，2关卡后剧情,3关卡前后剧情）	剧情ID   1,2	敌人难度 用以定义每关怪物的默认等级	怪物强度	关卡限时	体力预扣除	体力消耗	关卡解锁等级(指挥官)	钻石奖励	金币奖励	金币浮动下线	随机奖励掉落次数	关卡首次通关奖励(G-D-P-L-N-Level)	固定奖励(G-D-P-L-N-Rate)	随机奖励	显示奖励	怪物死亡掉落配置[[蓝色怪最大掉落次数，蓝色掉落组ID], [紫色怪最大掉落次数，紫色掉落组ID], [金色怪最大掉落次数，金色掉落组ID], [BOSS最大掉落次数，BOSS掉落组ID]]	店长获得经验	卡牌获得经验	怪物列表	推荐战斗力	boss头像_小	boss头像_大	关闭等级压制	血包掉落概率≥1 时有起效	能量掉落概率≥1 时有起效	章节开启时间	怪物属性	推荐属性	挑战限制1(Buff,TeamBuff,MonsterBuff,ForbiddenWeapon,ForbiddenGirl,LimitWeapon,LimitGirl,AppointWeapon,AppointGirl,TypeCount)	挑战限制2(Buff,TeamBuff,MonsterBuff,ForbiddenWeapon,ForbiddenGirl,LimitWeapon,LimitGirl,AppointWeapon,AppointGirl,TypeCount)	挑战限制3(Buff,TeamBuff,MonsterBuff,ForbiddenWeapon,ForbiddenGirl,LimitWeapon,LimitGirl,AppointWeapon,AppointGirl,TypeCount)	隐藏条件
Chapter	Index	Difficult	name	MapID	Type	Part	StarType	StoryType	StoryID	EnemyLevel	MonsterStrength	LevelTimeLimit	PreCost	Vigour	LevelLimit	Diamond	RewardGold	lowerLimit	RandDropNum	FirstAward	FixedAward	RandomAward	ShowRewards	MonsterDrop	MasterExp	CardExp	MapMonsters	BaseZDL	BossIcon_small	BossIcon_big	CloseLevelSuppress	DropHpRd	DropEnRd	OpenTime	MonsterAttr	RecommendAttr	LimitParam1	LimitParam2	LimitParam3	HideParam
1	0	1	level1_0	999	1		0			7		-1	0	0	1	0	0								0	0	[958,28],[1163,10],[1007,2],[962,22],[953,6],[362,1],[1112,1],[1009,2],[1002,3],[1003,6],[415,3],[413,1],[366,4]	1			1									
1	0	2	Hd_Boss02	1999	1		0					-1	0	0	1	0	0								0	0	 	4800			1									
1	0	3	Level_test	2002	1		0					-1	0	0	1	0	0								0	0	 	4800			1									
1	1	1	Level1_1(普通)	8	1		1	2	main1-2/masterstroke_1_101	1	600	300	1	5	1				1	[[15-2-1-1-20],[7-1-4-1-1],[7-3-1-1-1],[15-1-1-1-2000]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[7-1-3-1-1-1976-0-0],[7-1-1-1-1-1976-0-0],[7-1-2-1-1-1976-0-0],[7-1-5-1-1-1976-0-0],[7-1-6-1-1-1976-0-0]	[9-16-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1001	6	300	[958,44],[962,8]	940				5	0							
1	2	1	Level1_2(普通)	9	1		1	2	main1-2/masterstroke_1_201	1	600	300	1	5	1				1	[[15-2-1-1-20],[7-1-4-1-1],[7-3-1-1-1],[15-1-1-1-2000]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[7-1-3-1-1-1976-0-0],[7-1-1-1-1-1976-0-0],[7-1-2-1-1-1976-0-0],[7-1-5-1-1-1976-0-0],[7-1-6-1-1-1976-0-0]	[9-16-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1002	6	300	[958,28],[962,10],[1002,10]	950				5	0							
1	3	1	Level1_3(普通)	10	1		1	2	main1-2/masterstroke_1_301	3	600	300	1	5	1				1	[[7-7-1-4-1],[7-1-4-1-1],[7-3-1-1-1],[15-1-1-1-2000]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[7-1-3-1-1-1976-0-0],[7-1-1-1-1-1976-0-0],[7-1-2-1-1-1976-0-0],[7-1-5-1-1-1976-0-0],[7-1-6-1-1-1976-0-0]	[9-16-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1003	6	300	[361,1],[1151,16],[958,16],[1002,13],[334,2],[953,9],[962,6],[954,5]	2150				5	0							
1	4	1	Level1_4(普通)	11	1		1	2	main1-2/masterstroke_1_401	4	600	300	1	5	1				1	[[15-2-1-1-20],[7-1-4-1-1],[7-3-1-1-1],[15-1-1-1-2000]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[7-1-3-1-1-1976-0-0],[7-1-1-1-1-1976-0-0],[7-1-2-1-1-1976-0-0],[7-1-5-1-1-1976-0-0],[7-1-6-1-1-1976-0-0]	[9-16-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1004	6	300	[1002,10],[1151,25],[958,5],[950,1]	2190				5	0							
1	5	1	Level1_5(普通)	12	1		1	2	main1-2/masterstroke_1_501	5	600	300	1	5	1				1	[[15-2-1-1-20],[7-1-4-1-1],[7-3-1-1-1],[1-2-1-1-1-5],[15-1-1-1-2000],[17-1-12-1-1]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[7-1-3-1-1-1976-0-0],[7-1-1-1-1-1976-0-0],[7-1-2-1-1-1976-0-0],[7-1-5-1-1-1976-0-0],[7-1-6-1-1-1976-0-0]	[9-16-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1005	6	300	[958,17],[954,9],[1002,4],[953,6],[950,1],[962,4]	2230				5	0							
