INT	INT	INT	INT	INT	INT	INT
物品四元组G	物品四元组D	物品四元组P	物品四元组L	稀有度	固定被动技能1	固定被动技能2
Genre	Detail	Particular	Level	Rarity	PassiveSkill1	PassiveSkill2
2	1	2	1	1	0	0
2	1	2	2	1	0	0
2	1	3	1	4	40239	0
2	1	4	1	4	40377	0
2	1	5	1	4	40156	0
2	1	6	1	2	40151	0
2	1	7	1	2	40152	0
2	1	8	1	3	40123	0
2	1	9	1	3	40229	0
2	1	11	1	3	40153	0
2	1	12	1	2	40191	0
2	1	13	1	3	40199	0
2	1	14	1	2	40220	0
2	1	15	1	3	40255	0
2	1	16	1	3	40268	0
2	1	17	1	4	40270	0
2	1	18	1	4	40290	0
2	1	19	1	3	40321	0
2	1	20	1	4	40327	0
2	1	21	1	4	40334	0
2	1	22	1	4	40363	0
2	1	23	1	3	40366	40367
2	1	24	1	3	40386	0
2	1	500	1	4	0	0
2	1	501	1	3	25023	0
2	1	502	1	4	0	0
2	2	2	1	1	0	0
2	2	2	2	1	0	0
2	2	3	1	3	40231	0
2	2	4	1	4	40164	0
2	2	5	1	3	40160	0
2	2	6	1	2	40106	0
2	2	8	1	3	40166	0
2	2	9	1	2	40149	0
2	2	10	1	4	40243	0
2	2	11	1	4	40356	0
2	2	12	1	3	40202	0
2	2	14	1	2	40125	0
2	2	15	1	2	40222	0
2	2	16	1	3	40257	0
2	2	17	1	3	40272	0
2	2	18	1	4	40274	0
2	2	19	1	4	40293	0
2	2	20	1	3	40308	0
2	2	21	1	4	40346	0
2	2	22	1	4	40347	0
2	2	23	1	3	40342	0
2	2	24	1	4	40368	0
2	2	25	1	3	40390	0
2	2	26	1	4	40407	0
2	2	500	1	4	0	0
2	2	501	1	3	25021	0
2	2	502	2	1	0	0
2	2	503	1	4	0	0
2	2	1000	1	4	40388	0
2	2	1001	1	3	0	0
2	2	10000	1	4	0	0
2	2	10001	1	3	0	0
2	3	2	1	1	0	0
2	3	2	2	1	0	0
2	3	3	1	3	40127	0
2	3	4	1	2	40139	0
2	3	5	1	2	40183	0
2	3	6	1	3	40179	0
2	3	7	1	3	40234	0
2	3	8	1	4	40246	0
2	3	9	1	4	40181	0
2	3	10	1	2	40193	0
2	3	11	1	3	40204	0
2	3	12	1	4	40205	0
2	3	13	1	2	40224	0
2	3	14	1	3	40260	0
2	3	15	1	3	40278	0
2	3	16	1	4	40280	0
2	3	17	1	4	40392	0
2	3	18	1	3	40315	0
2	3	19	1	4	40328	40329
2	3	20	1	3	40344	0
2	3	21	1	4	40370	0
2	3	22	1	3	40371	0
2	3	23	1	4	40370	0
2	3	500	1	4	25019	0
2	3	501	1	3	0	0
2	3	502	1	4	0	0
2	3	1002	1	3	0	0
2	4	2	1	1	0	0
2	4	2	2	1	0	0
2	4	3	1	2	40195	0
2	4	4	1	4	40211	0
2	4	5	1	3	40170	0
2	4	6	1	2	40141	0
2	4	7	1	2	40168	0
2	4	8	1	3	40209	0
2	4	9	1	4	40116	0
2	4	10	1	2	40226	0
2	4	11	1	3	40235	0
2	4	12	1	4	40241	0
2	4	15	1	3	40129	0
2	4	16	1	3	40262	0
2	4	17	1	3	40282	0
2	4	18	1	4	40284	0
2	4	19	1	4	40300	0
2	4	20	1	4	40326	0
2	4	21	1	3	40330	0
2	4	22	1	4	40381	0
2	4	23	1	4	40349	0
2	4	24	1	3	40373	0
2	4	25	1	4	40398	0
2	4	500	1	4	0	0
2	4	501	1	3	25017	0
2	4	502	1	4	0	0
2	5	2	1	1	0	0
2	5	2	2	1	0	0
2	5	3	1	4	50633	0
2	5	4	1	2	40173	0
2	5	5	1	3	40175	0
2	5	6	1	2	40171	0
2	5	7	1	3	40177	0
2	5	8	1	2	40197	0
2	5	9	1	3	40213	0
2	5	10	1	4	40215	0
2	5	11	1	2	40227	0
2	5	12	1	3	40237	0
2	5	13	1	4	40249	0
2	5	14	1	3	40264	0
2	5	15	1	3	40286	0
2	5	16	1	4	40288	0
2	5	17	1	4	40359	0
2	5	18	1	3	40323	0
2	5	19	1	3	40324	0
2	5	20	1	4	40332	0
2	5	21	1	4	40338	0
2	5	22	1	3	40351	0
2	5	23	1	3	40394	0
2	5	24	1	4	40338	0
2	5	500	1	4	25015	0
2	5	501	1	3	0	0
2	5	502	1	4	0	0
